pxcor,pycor,pcolor,plabel,plabel-color,name,accessibility,ward-number,density,total0,total00,b51,b52,b53,b54,b55,b201,b202,b203,b204,b205,b501,b502,b503,b504,b505,b1001,b1002,b1003,b1004,b1005,b5001,b5002,b5003,b5004,b5005,s51,s52,s53,s54,s55,s201,s202,s203,s204,s205,s501,s502,s503,s504,s505,s1001,s1002,s1003,s1004,s1005,s5001,s5002,s5003,s5004,s5005
3,-5,0,,9.9,Peckham Rye,2,235,3.875,0.548717949,0.34369287,0.25,0.473684211,0.277777778,0.0625,0,0.578947368,0.5,0.857142857,0.230769231,0.3,0.714285714,0.6875,0.588235294,0.636363636,0.111111111,0.764705882,0.75,0.789473684,0.714285714,0.5625,0.833333333,0.631578947,0.791666667,0.5,0.761904762,0.5,0.315789474,0.125,0.05,0,0.35483871,0.416666667,0.684210526,0.15625,0.090909091,0.307692308,0.454545455,0.5,0.111111111,0.25,0.428571429,0.592592593,0.5,0.4,0.388888889,0.473684211,0.235294118,0.409090909,0.416666667,0.454545455
8,-5,0,,9.9,Ladywell,3,262,3,0.613496933,0.379120879,1,1,0.25,0,0,0.75,0.444444444,0.444444444,0.5,0.166666667,0.8,0.666666667,0.857142857,0.454545455,0.166666667,0.571428571,0.714285714,0.7,0.6,0.75,1,0.714285714,0.6,0.8,0.857142857,0.333333333,0.285714286,0.25,0,0,0.555555556,0.6,0.5,0.4,0.2,0.230769231,0.428571429,0.444444444,0.833333333,0.5,0.333333333,0.5,0.5,0.375,0.333333333,0,0.5,0.75,0.5,0.333333333
13,-5,0,,9.9,Middle Park and Sutcliffe,2,269,2.333333333,0.459558824,0.280453258,0.466666667,0.2,0.363636364,0,0,0.6,0.555555556,0.333333333,0.533333333,0.142857143,0.666666667,0.6,0.222222222,0.714285714,0.214285714,0.333333333,0.636363636,0.363636364,0.714285714,0.75,0.714285714,0.75,0.529411765,0.666666667,0.375,0.272727273,0.384615385,0.066666667,0.125,0,0.307692308,0.583333333,0.25,0.266666667,0.066666667,0.333333333,0.315789474,0.294117647,0.214285714,0.214285714,0.416666667,0.4375,0.461538462,0.2,0.090909091,0.181818182,0.363636364,0.454545455,0.555555556,0.466666667
21,-5,0,,9.9,Falconwood and Welling,2,296,0.2,0.222222222,0.384615385,0,0,,,,0,,0,,,1,,1,0,0,,,,1,0,0,0,0.5,,0,,0,0,0,0,0,,,,0,1,1,0,1,0,0,0.5,0,1,,0.5,,0,,
-36,-6,0,,9.9,Hounslow Heath,2,75,0.6,0.554347826,0.325,0.5,0.6,0,0.2,0.5,0.5,0.5,0.5,0.5,0.4,0.6,0.5,0.666666667,0.5,1,0,0.333333333,0.875,0.5,0.666666667,0.8,0.666666667,0.5,0.5,1,0.166666667,0,0.5,0,0,1,0.25,0,0.666666667,0,0.5,0.1,0.4,0.2,0.25,0.666666667,0.555555556,0.4,1,0.6,0,0,0.666666667,0.333333333,0.8
-28,-6,0,,9.9,St. Margarets and North Twickenham,2,402,2,0.607954545,0.377862595,0.5,0.333333333,0.4,0,0,0.6,0.333333333,0.636363636,0.4,0.4,0.2,0.727272727,1,0.818181818,0.7,0.571428571,0.714285714,0.727272727,1,0.833333333,1,0.666666667,0.5,0.571428571,0.9,0.2,0.333333333,0.166666667,0.090909091,0,0.5,0.285714286,0.272727273,0.368421053,0.090909091,0.428571429,0.571428571,0.428571429,0.444444444,0.333333333,0.428571429,0.818181818,0.454545455,0.529411765,0.222222222,0.5,0.583333333,0.6,0.416666667,0.25
-26,-6,0,,9.9,South Richmond,3,403,1.777777778,0.587064677,0.424561404,0.285714286,0,0.6,0.230769231,0,1,0.666666667,0.75,0.444444444,0.5,0.666666667,0.888888889,0.875,0.571428571,0.5,0.666666667,0.833333333,0.75,0.666666667,0.75,0.818181818,0.75,0.6,0.8,0.4,0.5,0.555555556,0.333333333,0.076923077,0,0.555555556,0.5625,0.818181818,0.4,0.210526316,0.666666667,0.352941176,0.8,0.153846154,0.307692308,0.416666667,0.266666667,0.555555556,0.444444444,0.5,0.8,0.714285714,0.571428571,0.222222222,0.714285714
-20,-6,0,,9.9,Roehampton and Putney Heath,1.5,425,1.785714286,0.618181818,0.350993377,0.583333333,0.454545455,0.476190476,0.043478261,0,0.833333333,0.642857143,0.5,0.388888889,0.6,0.625,0.666666667,0.916666667,0.615384615,0.692307692,0.75,1,0.875,0.642857143,0.6875,0.846153846,0.75,0.769230769,0.764705882,0.733333333,0.45,0.238095238,0.166666667,0.04,0,0.466666667,0.451612903,0.260869565,0.214285714,0.166666667,0.333333333,0.454545455,0.5,0.384615385,0.4375,0.538461538,0.375,0.368421053,0.428571429,0.529411765,0.315789474,0.357142857,0.5,0.352941176,0.611111111
-16,-6,0,,9.9,East Putney,3,430,2.4,0.519083969,0.403141361,0.428571429,0.333333333,0,0,0,0.5,0.6,0.833333333,0.375,0.142857143,0,0.666666667,0.777777778,0.75,0.2,0.5,0,1,0.666666667,0.666666667,1,0.5,0.8,1,0.8,0.5,0.25,0.363636364,0,0,0.428571429,0.571428571,0.714285714,0.142857143,0,0.333333333,0.222222222,0.625,0.444444444,0.5,0.714285714,0.2,0.6,0.444444444,0.272727273,0.875,0.428571429,0.666666667,0.5,1
-13,-6,0,,9.9,Fairfield,5,439,6.25,0.573289902,0.392434988,0.363636364,0.5,0.6,0,0,0.545454545,0.888888889,0.333333333,0.25,0.222222222,0.583333333,0.75,0.8,0.857142857,0.5,0.777777778,0.538461538,0.733333333,0.533333333,0.631578947,0.727272727,0.583333333,0.846153846,0.842105263,0.642857143,0.642857143,0.375,0.25,0,0.058823529,0.5625,0.5,0.5,0.307692308,0.1875,0.333333333,0.363636364,0.285714286,0.294117647,0.291666667,0.444444444,0.458333333,0.47826087,0.538461538,0.434782609,0.5625,0.555555556,0.45,0.458333333,0.6
